GENESIS-Tabelle: 12411-0018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2019;1001;Flensburg, kreisfreie Stadt;1405;1261;1583;1905;1168;1096;4089;4411;3373;2654;2512;2548;3350;3113;2518;4000;3918;1295;1189;1548;1786;1045;1041;4541;3670;2602;2376;2311;2584;3254;3081;2694;4596;5647
31.12.2019;1002;Kiel, kreisfreie Stadt;3526;3281;3984;4920;3057;2477;10381;12197;10425;7989;6852;7161;9117;8205;6680;10073;9873;3396;3186;3802;4662;2731;2589;11392;11872;9733;8191;6896;7104;8931;8616;7164;11551;14780
31.12.2019;1003;Lübeck, kreisfreie Stadt;2878;2956;3560;4598;2768;2138;6767;7689;7477;6571;5810;6627;8468;8106;6379;10288;10952;2802;2602;3449;4392;2668;2124;6842;7301;6879;6466;6245;6763;8879;8568;7223;12332;16963
31.12.2019;1004;Neumünster, kreisfreie Stadt;1142;1112;1451;1915;1186;982;2566;2700;2703;2407;2307;2464;3342;3071;2553;3842;3980;1003;1055;1363;1811;1082;911;2260;2398;2454;2250;2213;2479;3150;3156;2586;4398;5904
31.12.2019;1051;Dithmarschen, Landkreis;1623;1670;2288;3069;2062;1509;3850;3635;3601;3385;3423;4253;5725;5623;4763;7903;7336;1577;1648;2162;2927;2001;1375;3487;3170;3274;3402;3497;4178;5882;5802;5032;8226;9835
31.12.2019;1053;Herzogtum Lauenburg, Landkreis;2864;2974;3835;4899;3097;2216;5000;4821;5534;5926;5728;6427;8891;8494;6632;9569;10258;2715;2915;3545;4620;2952;1935;4185;4511;5446;6118;6156;6779;8891;8539;6856;10494;14197
31.12.2019;1054;Nordfriesland, Landkreis;2101;2182;2767;3715;2574;1843;4745;4968;4900;4452;4248;5111;7087;6838;5646;9269;8840;1952;2067;2558;3526;2522;1760;4058;4172;4324;4361;4523;5401;7468;7426;6225;10121;12201
31.12.2019;1055;Ostholstein, Landkreis;2191;2222;3214;4227;2834;1989;4730;4677;4786;4904;5021;6214;8731;8631;7312;12468;12538;2190;2228;3106;4053;2705;1879;3875;4233;4741;5329;5540;6684;9284;9289;7993;13678;17043
31.12.2019;1056;Pinneberg, Landkreis;4571;4639;5969;7670;4807;3342;8481;8512;9168;9534;9590;10624;14148;13068;10095;14842;16063;4355;4417;5715;7386;4467;3139;7453;7589;8730;9851;9921;10762;14288;13255;10392;16962;22298
31.12.2019;1057;Plön, Landkreis;1603;1687;2138;2992;2010;1399;3044;2755;3020;3215;3361;3983;5774;5630;4535;7450;7891;1527;1605;2218;2886;1796;1236;2526;2580;3132;3464;3489;4343;6050;5894;4814;8236;10403
31.12.2019;1058;Rendsburg-Eckernförde, Landkreis;3638;3830;5074;6731;4427;3175;7231;6653;7189;7356;7466;8885;12539;11776;9357;14954;14689;3479;3644;4755;6360;4135;2871;5827;6057;7070;7805;7799;9216;12875;12105;9734;16084;19312
31.12.2019;1059;Schleswig-Flensburg, Landkreis;2834;2871;3764;5024;3113;2233;5077;5203;5549;5319;5458;6315;8976;8602;6890;11393;10936;2583;2709;3536;4571;3098;2043;4379;4831;5369;5459;5601;6415;9084;8738;7082;11960;14141
31.12.2019;1060;Segeberg, Landkreis;3872;4003;5294;6773;4243;2972;7426;7419;8314;8709;8520;9209;12626;11641;8797;13469;13767;3702;3883;5024;6216;4009;2757;6131;6716;8071;8755;8626;9347;12598;11302;9371;15120;18493
31.12.2019;1061;Steinburg, Landkreis;1678;1751;2347;3044;2012;1425;3584;3550;3763;3538;3383;4360;6106;6015;4684;6813;6694;1686;1732;2154;2853;1938;1318;3000;3204;3575;3486;3609;4281;6261;5958;4670;7194;9347
31.12.2019;1062;Stormarn, Landkreis;3395;3561;4877;6106;3711;2614;6065;5366;6312;7110;7591;8062;11074;10318;7720;11936;13412;3123;3466;4590;5823;3510;2431;5050;5060;6354;7839;7789;8409;11422;10270;8169;13357;18264
31.12.2019;2000;Hamburg, kreisfreie Stadt;31320;29210;34263;41320;23871;17570;56611;72003;77659;70460;62432;60794;71220;63108;47548;70373;74212;29618;28127;32560;38216;22381;16570;55561;74036;78104;71349;62122;59949;69193;63423;50296;82222;109552
31.12.2019;3101;Braunschweig, kreisfreie Stadt;3478;3160;3994;4955;3061;2395;9105;11651;10435;8867;7262;7606;9566;8677;7248;10592;11578;3403;3179;3849;4655;2864;2271;8200;9770;9034;7910;7238;7506;9179;8821;7692;12598;17607
31.12.2019;3102;Salzgitter, kreisfreie Stadt;1777;1739;2082;2694;1584;1152;3239;3343;3236;3072;2921;3069;3945;4094;3360;5338;5186;1690;1571;1983;2380;1432;1104;2837;2873;2869;2883;2820;3105;3885;4021;3555;5853;7599
31.12.2019;3103;Wolfsburg, kreisfreie Stadt;2005;2028;2358;2747;1619;1172;3342;4460;4793;4503;3950;3747;4632;4690;3852;5579;6496;1932;1870;2124;2549;1561;1024;2940;3841;4268;4128;3629;3662;4587;4665;4054;6302;9262
31.12.2019;3151;Gifhorn, Landkreis;2823;2852;3437;4407;2811;1962;4850;4723;5455;5488;5155;5698;7822;8016;6418;8667;7711;2683;2738;3280;4219;2710;1827;3788;4234;5249;5449;5040;5795;7709;7823;6273;8961;10450
31.12.2019;3152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2019;3153;Goslar, Landkreis;1495;1550;1944;2717;1734;1538;4505;4263;3775;3430;3443;4181;5889;5722;4974;8082;8357;1409;1462;1867;2515;1668;1272;3255;3345;3336;3367;3401;4291;5656;5795;5105;8859;12090
31.12.2019;3154;Helmstedt, Landkreis;1318;1251;1550;2061;1262;934;2315;2432;2721;2821;2586;2971;3965;4038;3477;5003;4568;1245;1206;1507;1931;1165;803;1963;2173;2688;2660;2566;2816;3922;4041;3395;5246;6697
31.12.2019;3155;Northeim, Landkreis;1597;1736;2161;2850;1934;1369;3512;3477;3574;3452;3419;4143;5596;5926;5311;7847;7386;1585;1621;2094;2717;1700;1264;3060;3095;3294;3480;3450;4079;5813;6044;5045;7987;10667
31.12.2019;3156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2019;3157;Peine, Landkreis;2024;2056;2595;3356;2138;1638;3663;3411;3917;3978;3894;4565;6201;5758;4645;6520;6394;1946;2017;2513;3120;2022;1384;3042;3237;3858;4010;3955;4655;5908;5736;4562;7084;8999
31.12.2019;3158;Wolfenbüttel, Landkreis;1558;1602;2001;2638;1815;1379;3388;3242;3285;3192;3204;3804;5569;5286;4378;6461;6410;1486;1531;1943;2465;1654;1152;2916;2738;3123;3226;3367;4077;5402;5235;4358;6984;8753
31.12.2019;3159;Göttingen, Landkreis;4236;4326;5414;7112;4448;3550;11886;11595;10612;9030;8285;9573;12541;12946;11214;16987;16268;4012;4080;5018;6620;4293;3491;11356;10930;9783;9250;8717;9881;12675;13340;11509;18099;22964
31.12.2019;3201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2019;3241;Region Hannover, Landkreis;17076;17121;21340;26560;16144;11954;36061;40219;39675;36887;34400;36352;46677;44213;35710;51839;54398;16233;16297;20122;25243;15217;11263;33673;37641;38113;37467;35162;36837;46125;44298;37438;59423;79937
31.12.2019;3251;Diepholz, Landkreis;3022;3098;4048;5191;3439;2439;5872;5809;6329;6027;5933;7230;9858;9624;7752;11383;10822;2895;2910;3680;4938;3108;2127;5162;5288;5916;6184;6131;7248;9920;9174;7646;12016;14870
31.12.2019;3252;Hameln-Pyrmont, Landkreis;1989;2002;2551;3327;2154;1508;3932;3899;3899;3957;3771;4529;6267;6394;5363;8077;8261;1908;1953;2476;3210;2078;1409;3404;3727;3853;3998;3974;4621;6369;6542;5636;8945;12566
31.12.2019;3253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2019;3254;Hildesheim, Landkreis;3633;3710;4580;6129;4140;2943;8180;8488;7846;7572;7375;8648;11882;11584;9564;14221;14052;3489;3419;4424;5809;3861;2964;8518;7700;7444;7571;7610;8772;11713;11665;9779;15697;20835
31.12.2019;3255;Holzminden, Landkreis;877;889;1137;1509;1054;780;1957;1995;1953;1860;1757;2104;2960;3046;2638;4163;4232;815;855;1121;1402;989;682;1691;1629;1693;1784;1715;2132;3011;3028;2660;4411;5929
31.12.2019;3256;Nienburg (Weser), Landkreis;1653;1644;2181;2883;1957;1406;3589;3425;3489;3337;3323;3910;5330;5492;4506;6438;5736;1583;1731;2173;2884;1794;1263;3005;2969;3169;3247;3228;3882;5195;5316;4470;6641;8541
31.12.2019;3257;Schaumburg, Landkreis;2018;2103;2635;3485;2369;1716;4315;4092;4189;4356;4214;4985;7187;6927;5667;8466;8542;1934;2057;2515;3379;2218;1618;3702;3757;4051;4290;4211;5090;7104;6950;5731;9279;12668
31.12.2019;3351;Celle, Landkreis;2600;2659;3355;4375;2805;2035;4684;4933;5336;5170;4980;5538;7368;7307;6129;9602;9225;2425;2570;3245;4159;2702;1767;4120;4556;5128;5141;4909;5662;7319;7417;6325;10568;12897
31.12.2019;3352;Cuxhaven, Landkreis;2606;2712;3528;4760;2944;2041;4899;4960;5256;5220;5124;6278;8396;8299;6952;12088;10804;2511;2452;3318;4307;2950;1867;4382;4363;5127;5276;5260;6625;8804;8533;7673;12750;14973
31.12.2019;3353;Harburg, Landkreis;3736;3890;4925;6239;3858;2779;6910;6455;6945;7455;7382;8383;11577;10941;8403;12508;12987;3459;3554;4693;5890;3683;2454;5589;5425;6676;7868;7859;8782;12037;11031;8493;14125;17440
31.12.2019;3354;Lüchow-Dannenberg, Landkreis;559;610;801;1107;736;531;1097;1095;1222;1208;1262;1430;2011;2059;1874;3126;3055;558;566;719;984;736;437;883;964;1102;1228;1206;1470;2106;2199;2039;3301;4131
31.12.2019;3355;Lüneburg, Landkreis;2626;2746;3469;4461;2806;2067;5701;5551;5741;5467;5484;6070;7827;7399;5769;8645;7974;2487;2574;3351;4295;2690;2096;5750;5227;5400;5805;5727;6322;8150;7607;6006;9468;11381
31.12.2019;3356;Osterholz, Landkreis;1594;1700;2158;2678;1768;1237;2892;2647;2879;3237;3054;3713;5223;5040;4037;6217;5852;1533;1626;1920;2560;1598;1103;2439;2412;2956;3352;3343;3786;5353;5091;4107;6817;8006
31.12.2019;3357;Rotenburg (Wümme), Landkreis;2376;2292;2889;4036;2830;2062;4999;4839;5077;4610;4621;5461;7287;7161;5658;8524;7595;2188;2161;2756;3783;2513;1849;4070;4156;4526;4622;4491;5486;7197;6946;5731;8844;10146
31.12.2019;3358;Heidekreis;1982;2059;2673;3432;2265;1637;4226;4399;4406;3941;3864;4435;5880;5974;4875;7186;7017;1901;1830;2408;3175;2065;1464;3424;3555;3890;3912;3769;4495;6018;6041;4979;7576;9920
