;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;nan;nan;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
Flensburg, kreisfreie Stadt;70105,0;49694,0;485,0;49209,0;15140,0;15175,0;5316,0;5958,0;0,0;3421,0;3441,0;0,0;0,0;452,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;306,0;423,0;49271,0;13382,0;12142,0;5699,0;7416,0;0,0;5073,0;3702,0;0,0;108,0;250,0;0,0;100,0;957,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;422,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kiel, kreisfreie Stadt;186988,0;138481,0;1453,0;137028,0;40422,0;43057,0;10511,0;20090,0;0,0;10072,0;8478,0;0,0;0,0;0,0;0,0;0,0;3823,0;0,0;0,0;0,0;252,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;323,0;0,0;0,0;1113,0;137368,0;35525,0;33093,0;14699,0;23995,0;0,0;15697,0;9524,0;0,0;237,0;488,0;0,0;322,0;3046,0;0,0;0,0;0,0;143,0;0,0;0,0;0,0;0,0;0,0;0,0;599,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lübeck, kreisfreie Stadt;166673,0;118981,0;2093,0;116888,0;40513,0;40097,0;0,0;15515,0;0,0;7460,0;10088,0;0,0;0,0;2313,0;0,0;0,0;0,0;0,0;0,0;0,0;902,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1102,0;117879,0;34108,0;30109,0;11431,0;15223,0;0,0;12666,0;10461,0;0,0;320,0;981,0;0,0;238,0;1737,0;0,0;0,0;0,0;158,0;0,0;0,0;0,0;0,0;0,0;0,0;447,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Neumünster, kreisfreie Stadt;60378,0;40325,0;424,0;39901,0;15128,0;12159,0;2408,0;2879,0;0,0;2880,0;3955,0;0,0;0,0;492,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;464,0;39861,0;12407,0;10252,0;2831,0;4179,0;0,0;4830,0;4124,0;0,0;254,0;247,0;0,0;60,0;453,0;0,0;0,0;0,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;193,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dithmarschen, Landkreis;107148,0;78004,0;739,0;77265,0;32491,0;20348,0;4066,0;4700,0;0,0;8647,0;6034,0;0,0;0,0;938,0;0,0;0,0;0,0;0,0;0,0;0,0;41,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;667,0;77337,0;28400,0;18087,0;4764,0;6222,0;0,0;11263,0;6626,0;0,0;233,0;573,0;0,0;76,0;768,0;0,0;0,0;0,0;39,0;0,0;0,0;0,0;0,0;0,0;0,0;286,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Herzogtum Lauenburg, Landkreis;151988,0;117615,0;1016,0;116599,0;46081,0;32053,0;5378,0;11651,0;0,0;8758,0;11094,0;0,0;0,0;1532,0;0,0;0,0;0,0;0,0;0,0;0,0;52,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;881,0;116734,0;39942,0;26812,0;7733,0;12222,0;0,0;14922,0;11929,0;0,0;358,0;884,0;0,0;285,0;1311,0;0,0;0,0;0,0;41,0;0,0;0,0;0,0;0,0;0,0;0,0;295,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nordfriesland, Landkreis;131595,0;99133,0;907,0;98226,0;45158,0;24234,0;4979,0;10316,0;0,0;7442,0;5091,0;0,0;0,0;1006,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;785,0;98348,0;38063,0;21878,0;6177,0;11904,0;0,0;12384,0;5710,0;0,0;202,0;580,0;0,0;137,0;979,0;0,0;0,0;0,0;44,0;0,0;0,0;0,0;0,0;0,0;0,0;290,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ostholstein, Landkreis;165689,0;125799,0;1056,0;124743,0;51782,0;38744,0;5452,0;8528,0;0,0;9143,0;9631,0;0,0;0,0;1001,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;462,0;0,0;0,0;0,0;0,0;0,0;1058,0;124741,0;44414,0;30908,0;7520,0;12120,0;0,0;16608,0;10553,0;0,0;271,0;798,0;0,0;156,0;1074,0;0,0;0,0;0,0;35,0;0,0;0,0;0,0;0,0;0,0;0,0;284,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pinneberg, Landkreis;238533,0;187715,0;1620,0;186095,0;73816,0;56460,0;11270,0;15379,0;0,0;14441,0;14729,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1343,0;186372,0;63863,0;42729,0;13111,0;21336,0;0,0;24735,0;15977,0;0,0;446,0;954,0;0,0;428,0;2200,0;0,0;0,0;0,0;52,0;0,0;0,0;0,0;0,0;0,0;0,0;541,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
